F22: Calling A4_Render(
	SceneNode:[name:scene, id:0]
	Image(width:256, height:256)
	eye:  vec3(0.000000, 0.000000, 0.000000)
	view: vec3(0.000000, 0.000000, -1.000000)
	up:   vec3(0.000000, 1.000000, 0.000000)
	fovy: 50
	ambient: vec3(0.400000, 0.400000, 0.400000)
	lights{
		L[vec3(0.800000, 0.800000, 0.800000), vec3(200.000000, 200.000000, 400.000000), 1, 0, 0]
		L[vec3(0.400000, 0.400000, 0.800000), vec3(0.000000, 5.000000, -20.000000), 1, 0, 0]
	}
)
sphere: 19.5466 0.978881
sphere: 19.5466 0.978881
sphere: 19.5664 0.983072
sphere: 19.5664 0.983072
sphere: 19.6057 0.987311
sphere: 19.6057 0.987311
sphere: 19.6564 0.991598
sphere: 19.6564 0.991598
sphere: 19.7153 0.995933
sphere: 19.7153 0.995933
sphere: 19.7811 1.00032
sphere: 19.7811 1.00032
sphere: 19.8528 1.00475
sphere: 19.8528 1.00475
sphere: 19.9299 1.00924
sphere: 19.9299 1.00924
sphere: 20.0123 1.01377
sphere: 20.0123 1.01377
sphere: 20.0999 1.01836
sphere: 20.0999 1.01836
sphere: 20.1929 1.023
sphere: 20.1929 1.023
sphere: 20.2914 1.0277
sphere: 20.2914 1.0277
sphere: 20.3959 1.03244
sphere: 20.3959 1.03244
sphere: 20.5069 1.03724
sphere: 20.5069 1.03724
sphere: 20.6256 1.0421
sphere: 20.6256 1.0421
sphere: 20.7537 1.04701
sphere: 20.7537 1.04701
sphere: 20.8937 1.05198
sphere: 20.8937 1.05198
sphere: 21.0525 1.05701
sphere: 21.0525 1.05701
sphere: 21.2509 1.06209
sphere: 21.2509 1.06209
sphere: 19.0351 0.953693
sphere: 19.0351 0.953693
sphere: 19.0331 0.957599
sphere: 19.0331 0.957599
sphere: 19.0549 0.961548
sphere: 19.0549 0.961548
sphere: 19.0895 0.965543
sphere: 19.0895 0.965543
sphere: 19.1326 0.969582
sphere: 19.1326 0.969582
sphere: 19.1824 0.973667
sphere: 19.1824 0.973667
sphere: 19.2377 0.977799
sphere: 19.2377 0.977799
sphere: 19.2979 0.981977
sphere: 19.2979 0.981977
sphere: 19.3624 0.986202
sphere: 19.3624 0.986202
sphere: 19.4311 0.990475
sphere: 19.4311 0.990475
sphere: 19.5038 0.994796
sphere: 19.5038 0.994796
sphere: 19.5804 0.999167
sphere: 19.5804 0.999167
sphere: 19.6608 1.00359
sphere: 19.6608 1.00359
sphere: 19.745 1.00806
sphere: 19.745 1.00806
sphere: 19.8332 1.01258
sphere: 19.8332 1.01258
sphere: 19.9256 1.01715
sphere: 19.9256 1.01715
sphere: 20.0221 1.02178
sphere: 20.0221 1.02178
sphere: 20.1231 1.02645
sphere: 20.1231 1.02645
sphere: 20.2291 1.03118
sphere: 20.2291 1.03118
sphere: 20.3405 1.03597
sphere: 20.3405 1.03597
sphere: 20.458 1.04081
sphere: 20.458 1.04081
sphere: 20.5822 1.0457
sphere: 20.5822 1.0457
sphere: 20.7148 1.05066
sphere: 20.7148 1.05066
sphere: 20.8578 1.05566
sphere: 20.8578 1.05566
sphere: 21.0151 1.06073
sphere: 21.0151 1.06073
sphere: 21.1954 1.06585
sphere: 21.1954 1.06585
sphere: 21.4334 1.07103
sphere: 21.4334 1.07103
sphere: 18.6556 0.93384
sphere: 18.6556 0.93384
sphere: 18.6326 0.937522
sphere: 18.6326 0.937522
sphere: 18.6414 0.941246
sphere: 18.6414 0.941246
sphere: 18.6647 0.945012
sphere: 18.6647 0.945012
sphere: 18.6973 0.948819
sphere: 18.6973 0.948819
sphere: 18.7368 0.95267
sphere: 18.7368 0.95267
sphere: 18.782 0.956564
sphere: 18.782 0.956564
sphere: 18.8318 0.960501
sphere: 18.8318 0.960501
sphere: 18.886 0.964483
sphere: 18.886 0.964483
sphere: 18.9439 0.96851
sphere: 18.9439 0.96851
sphere: 19.0054 0.972582
sphere: 19.0054 0.972582
sphere: 19.0704 0.9767
sphere: 19.0704 0.9767
sphere: 19.1387 0.980864
sphere: 19.1387 0.980864
sphere: 19.2103 0.985076
sphere: 19.2103 0.985076
sphere: 19.285 0.989335
sphere: 19.285 0.989335
sphere: 19.363 0.993642
sphere: 19.363 0.993642
sphere: 19.4443 0.997998
sphere: 19.4443 0.997998
sphere: 19.5289 1.0024
sphere: 19.5289 1.0024
sphere: 19.6169 1.00686
sphere: 19.6169 1.00686
sphere: 19.7085 1.01137
sphere: 19.7085 1.01137
sphere: 19.8039 1.01592
sphere: 19.8039 1.01592
sphere: 19.9032 1.02053
sphere: 19.9032 1.02053
sphere: 20.0066 1.02519
sphere: 20.0066 1.02519
sphere: 20.1148 1.02991
sphere: 20.1148 1.02991
sphere: 20.2278 1.03467
sphere: 20.2278 1.03467
sphere: 20.3465 1.0395
sphere: 20.3465 1.0395
sphere: 20.4715 1.04437
sphere: 20.4715 1.04437
sphere: 20.604 1.04931
sphere: 20.604 1.04931
sphere: 20.7456 1.0543
sphere: 20.7456 1.0543
sphere: 20.899 1.05934
sphere: 20.899 1.05934
sphere: 21.0692 1.06445
sphere: 21.0692 1.06445
sphere: 21.2683 1.06961
sphere: 21.2683 1.06961
sphere: 21.5702 1.07483
sphere: 21.5702 1.07483
sphere: 18.3238 0.918577
sphere: 18.3238 0.918577
sphere: 18.3019 0.922089
sphere: 18.3019 0.922089
sphere: 18.3074 0.92564
sphere: 18.3074 0.92564
sphere: 18.3265 0.92923
sphere: 18.3265 0.92923
sphere: 18.3544 0.932861
sphere: 18.3544 0.932861
sphere: 18.3888 0.936532
sphere: 18.3888 0.936532
sphere: 18.4285 0.940245
sphere: 18.4285 0.940245
sphere: 18.4727 0.943999
sphere: 18.4727 0.943999
sphere: 18.5208 0.947794
sphere: 18.5208 0.947794
sphere: 18.5726 0.951633
sphere: 18.5726 0.951633
sphere: 18.6277 0.955514
sphere: 18.6277 0.955514
sphere: 18.6859 0.959439
sphere: 18.6859 0.959439
sphere: 18.7472 0.963408
sphere: 18.7472 0.963408
sphere: 18.8114 0.967422
sphere: 18.8114 0.967422
sphere: 18.8785 0.971481
sphere: 18.8785 0.971481
sphere: 18.9484 0.975585
sphere: 18.9484 0.975585
sphere: 19.0211 0.979736
sphere: 19.0211 0.979736
sphere: 19.0968 0.983933
sphere: 19.0968 0.983933
sphere: 19.1754 0.988178
sphere: 19.1754 0.988178
sphere: 19.2569 0.992471
sphere: 19.2569 0.992471
sphere: 19.3415 0.996812
sphere: 19.3415 0.996812
sphere: 19.4291 1.0012
sphere: 19.4291 1.0012
sphere: 19.5201 1.00564
sphere: 19.5201 1.00564
sphere: 19.6145 1.01013
sphere: 19.6145 1.01013
sphere: 19.7126 1.01467
sphere: 19.7126 1.01467
sphere: 19.8145 1.01927
sphere: 19.8145 1.01927
sphere: 19.9205 1.02391
sphere: 19.9205 1.02391
sphere: 20.0311 1.02861
sphere: 20.0311 1.02861
sphere: 20.1465 1.03336
sphere: 20.1465 1.03336
sphere: 20.2676 1.03816
sphere: 20.2676 1.03816
sphere: 20.3949 1.04302
sphere: 20.3949 1.04302
sphere: 20.5298 1.04794
sphere: 20.5298 1.04794
sphere: 20.6737 1.05291
sphere: 20.6737 1.05291
sphere: 20.8292 1.05794
sphere: 20.8292 1.05794
sphere: 21.0009 1.06302
sphere: 21.0009 1.06302
sphere: 21.1995 1.06816
sphere: 21.1995 1.06816
sphere: 21.4707 1.07337
sphere: 21.4707 1.07337
sphere: 18.0588 0.904006
sphere: 18.0588 0.904006
sphere: 18.0197 0.907356
sphere: 18.0197 0.907356
sphere: 18.0162 0.910743
sphere: 18.0162 0.910743
sphere: 18.0282 0.914167
sphere: 18.0282 0.914167
sphere: 18.0495 0.91763
sphere: 18.0495 0.91763
sphere: 18.0779 0.921131
sphere: 18.0779 0.921131
sphere: 18.1117 0.924671
sphere: 18.1117 0.924671
sphere: 18.1501 0.92825
sphere: 18.1501 0.92825
sphere: 18.1924 0.931869
sphere: 18.1924 0.931869
sphere: 18.2381 0.935529
sphere: 18.2381 0.935529
sphere: 18.2873 0.93923
sphere: 18.2873 0.93923
sphere: 18.3393 0.942971
sphere: 18.3393 0.942971
sphere: 18.3942 0.946755
sphere: 18.3942 0.946755
sphere: 18.4519 0.950581
sphere: 18.4519 0.950581
sphere: 18.5123 0.95445
sphere: 18.5123 0.95445
sphere: 18.5753 0.958362
sphere: 18.5753 0.958362
sphere: 18.6409 0.962318
sphere: 18.6409 0.962318
sphere: 18.709 0.966318
sphere: 18.709 0.966318
sphere: 18.7798 0.970364
sphere: 18.7798 0.970364
sphere: 18.8532 0.974454
sphere: 18.8532 0.974454
sphere: 18.9292 0.978591
sphere: 18.9292 0.978591
sphere: 19.0079 0.982774
sphere: 19.0079 0.982774
sphere: 19.0895 0.987004
sphere: 19.0895 0.987004
sphere: 19.1738 0.991282
sphere: 19.1738 0.991282
sphere: 19.2612 0.995608
sphere: 19.2612 0.995608
sphere: 19.3516 0.999983
sphere: 19.3516 0.999983
sphere: 19.4453 1.00441
sphere: 19.4453 1.00441
sphere: 19.5424 1.00888
sphere: 19.5424 1.00888
sphere: 19.6432 1.01341
